EVENT | time=01:22:05 | agent=supervisor | type=no_space_detected | data=urgent
EVENT | time=01:22:05 | agent=scheduler | type=output_phase_started | data=urgent
EVENT | time=01:22:05 | agent=scheduler | type=deadline_started | data=urgent
EVENT | time=01:22:06 | agent=robot_light | type=container_delivered | data=container_7
EVENT | time=01:22:08 | agent=robot_light | type=container_delivered | data=container_15
EVENT | time=01:22:18 | agent=robot_heavy | type=container_delivered | data=container_23
EVENT | time=01:22:22 | agent=robot_medium | type=container_delivered | data=container_17
EVENT | time=01:22:25 | agent=robot_heavy2 | type=container_delivered | data=container_12
EVENT | time=01:22:26 | agent=supervisor | type=no_space_detected | data=standard
EVENT | time=01:22:30 | agent=robot_heavy | type=container_delivered | data=container_6
EVENT | time=01:22:39 | agent=scheduler | type=deadline_ended | data=urgent
EVENT | time=01:22:39 | agent=scheduler | type=output_phase_started | data=normal
EVENT | time=01:22:39 | agent=scheduler | type=deadline_started | data=normal
EVENT | time=01:22:41 | agent=robot_heavy | type=container_delivered | data=container_22
EVENT | time=01:22:42 | agent=robot_light | type=container_delivered | data=container_4
EVENT | time=01:22:44 | agent=robot_heavy | type=container_delivered | data=container_21
EVENT | time=01:22:46 | agent=robot_medium | type=container_delivered | data=container_1
EVENT | time=01:22:52 | agent=robot_heavy2 | type=container_delivered | data=container_26
EVENT | time=01:22:52 | agent=robot_light | type=container_delivered | data=container_5
EVENT | time=01:22:55 | agent=robot_light | type=container_delivered | data=container_8
EVENT | time=01:22:56 | agent=robot_medium | type=container_delivered | data=container_2
EVENT | time=01:22:57 | agent=robot_light | type=container_delivered | data=container_9
EVENT | time=01:23:00 | agent=robot_light | type=container_delivered | data=container_11
EVENT | time=01:23:02 | agent=robot_light | type=container_delivered | data=container_19
EVENT | time=01:23:03 | agent=robot_medium | type=container_delivered | data=container_3
EVENT | time=01:23:04 | agent=robot_light | type=container_delivered | data=container_20
EVENT | time=01:23:10 | agent=robot_medium | type=container_delivered | data=container_24
EVENT | time=01:23:13 | agent=robot_heavy | type=container_delivered | data=container_10
EVENT | time=01:23:18 | agent=robot_medium | type=container_delivered | data=container_13
EVENT | time=01:23:28 | agent=robot_medium | type=container_delivered | data=container_18
EVENT | time=01:23:37 | agent=robot_medium | type=container_delivered | data=container_25
EVENT | time=01:23:46 | agent=robot_heavy2 | type=container_delivered | data=container_16
EVENT | time=01:24:03 | agent=robot_heavy | type=container_delivered | data=container_14
EVENT | time=01:24:16 | agent=scheduler | type=deadline_ended | data=normal
EVENT | time=01:24:23 | agent=supervisor | type=no_space_detected | data=urgent
EVENT | time=01:24:23 | agent=scheduler | type=output_phase_started | data=urgent
EVENT | time=01:24:23 | agent=scheduler | type=deadline_started | data=urgent
EVENT | time=01:24:25 | agent=robot_light | type=container_delivered | data=container_31
EVENT | time=01:24:25 | agent=robot_heavy2 | type=container_delivered | data=container_33
EVENT | time=01:24:27 | agent=robot_medium | type=container_delivered | data=container_28
EVENT | time=01:24:28 | agent=robot_light | type=container_delivered | data=container_32
EVENT | time=01:24:30 | agent=robot_heavy | type=container_delivered | data=container_30
EVENT | time=01:24:41 | agent=robot_heavy2 | type=container_delivered | data=container_29
EVENT | time=01:24:48 | agent=robot_heavy | type=container_delivered | data=container_27
EVENT | time=01:24:56 | agent=scheduler | type=deadline_ended | data=urgent
EVENT | time=01:26:34 | agent=supervisor | type=no_space_detected | data=standard
EVENT | time=01:26:34 | agent=scheduler | type=output_phase_started | data=normal
EVENT | time=01:26:34 | agent=scheduler | type=deadline_started | data=normal
EVENT | time=01:26:37 | agent=robot_light | type=container_delivered | data=container_34
EVENT | time=01:26:39 | agent=robot_light | type=container_delivered | data=container_37
EVENT | time=01:26:41 | agent=robot_medium | type=container_delivered | data=container_46
EVENT | time=01:26:45 | agent=robot_medium | type=container_delivered | data=container_45
EVENT | time=01:26:50 | agent=robot_heavy2 | type=container_delivered | data=container_41
EVENT | time=01:26:52 | agent=robot_medium | type=container_delivered | data=container_38
EVENT | time=01:26:53 | agent=robot_heavy | type=container_delivered | data=container_35
EVENT | time=01:27:01 | agent=robot_medium | type=container_delivered | data=container_39
EVENT | time=01:27:09 | agent=robot_medium | type=container_delivered | data=container_42
EVENT | time=01:27:12 | agent=robot_heavy2 | type=container_delivered | data=container_36
EVENT | time=01:27:14 | agent=robot_heavy | type=container_delivered | data=container_43
EVENT | time=01:28:00 | agent=supervisor | type=no_space_detected | data=urgent
EVENT | time=01:28:13 | agent=scheduler | type=deadline_ended | data=normal
EVENT | time=01:28:13 | agent=scheduler | type=output_phase_started | data=urgent
EVENT | time=01:28:13 | agent=scheduler | type=deadline_started | data=urgent
EVENT | time=01:28:16 | agent=robot_medium | type=container_delivered | data=container_44
EVENT | time=01:28:17 | agent=robot_light | type=container_delivered | data=container_48
EVENT | time=01:28:18 | agent=robot_light | type=container_delivered | data=container_50
EVENT | time=01:28:21 | agent=robot_medium | type=container_delivered | data=container_52
EVENT | time=01:28:26 | agent=robot_heavy2 | type=container_delivered | data=container_49
EVENT | time=01:28:28 | agent=robot_heavy | type=container_delivered | data=container_40
EVENT | time=01:28:29 | agent=robot_medium | type=container_delivered | data=container_51
EVENT | time=01:28:46 | agent=scheduler | type=deadline_ended | data=urgent
EVENT | time=01:28:46 | agent=supervisor | type=deadline_missed | data=container_47
